"filename", "language", "Python", "YAML", "Markdown", "Ini", "pip requirements", "JSON", "Shell Script", "comment", "blank", "total"
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_sender_oauth.py", "Python", -39, 0, 0, 0, 0, 0, 0, 13, 21, -5
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/email_sender_smtp.py", "Python", -15, 0, 0, 0, 0, 0, 0, 7, 9, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/quick_email_test.py", "Python", -4, 0, 0, 0, 0, 0, 0, 0, 5, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/archive/simple_email_debug.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, 2, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/cleanup_email_senders.py", "Python", -1, 0, 0, 0, 0, 0, 0, -1, 1, -1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/focused_email_sender.py", "Python", -23, 0, 0, 0, 0, 0, 0, 6, 17, 0
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/setup_secure_email.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, 3, 2
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/email_senders/simple_email_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/master_demo.py", "Python", -3, 0, 0, 0, 0, 0, 0, -1, 2, -2
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/master_end_to_end_demo.py", "Python", -6, 0, 0, 0, 0, 0, 0, -1, 0, -7
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/shared_utils.py", "Python", -2, 0, 0, 0, 0, 0, 0, -8, 11, 1
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/testing/manual_test.py", "Python", -3, 0, 0, 0, 0, 0, 0, -1, 4, 0
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/testing/quick_auth_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, 0, -1
