"filename", "language", "Python", "Markdown", "pip requirements", "Docker", "Ini", "Batch", "JSON", "PowerShell", "Shell Script", "comment", "blank", "total"
"/home/jon/repos/charlie-reporting/docs/phase-plans/day-1-kickstart-guide.md", "Markdown", 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 47, 203
"/home/jon/repos/charlie-reporting/docs/phase-plans/phase-2.5-completion-plan.md", "Markdown", 0, 246, 0, 0, 0, 0, 0, 0, 0, 0, 99, 345
"/home/jon/repos/charlie-reporting/docs/phase-plans/phase-2.5-tactical-execution.md", "Markdown", 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 80, 332
"/home/jon/repos/charlie-reporting/docs/phase-plans/phase-2.5-tactical-order.md", "Markdown", 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 72, 284
"/home/jon/repos/charlie-reporting/docs/phase2-integration-complete.md", "Markdown", 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 51, 184
"/home/jon/repos/charlie-reporting/docs/project-wiki/README.md", "Markdown", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 62, 192
"/home/jon/repos/charlie-reporting/docs/project-wiki/milestones.md", "Markdown", 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 72, 232
"/home/jon/repos/charlie-reporting/docs/sprint-reviews/2025-07-28-phase1-review.md", "Markdown", 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 70, 224
"/home/jon/repos/charlie-reporting/docs/sprint-reviews/2025-07-28-phase2-detailed-plan.md", "Markdown", 0, 315, 0, 0, 0, 0, 0, 0, 0, 0, 95, 410
"/home/jon/repos/charlie-reporting/docs/sprint-reviews/2025-07-29-phase2-completion-audit.md", "Markdown", 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 95, 310
"/home/jon/repos/charlie-reporting/docs/sprint-reviews/README.md", "Markdown", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 33, 102
"/home/jon/repos/charlie-reporting/docs/sprint-reviews/phase2-detailed-plan.md", "Markdown", 0, 325, 0, 0, 0, 0, 0, 0, 0, 0, 116, 441
"/home/jon/repos/charlie-reporting/docs/test-migration-complete.md", "Markdown", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 33, 160
"/home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 11
"/home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/archiver.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 45
"/home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/config_loader.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 19, 13, 71
"/home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/email_fetcher.py", "Python", 465, 0, 0, 0, 0, 0, 0, 0, 0, 163, 159, 787
"/home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/excel_writer.py", "Python", 164, 0, 0, 0, 0, 0, 0, 0, 0, 85, 54, 303
"/home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/logger.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 46
"/home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/main.py", "Python", 235, 0, 0, 0, 0, 0, 0, 0, 0, 82, 62, 379
"/home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/transformer.py", "Python", 165, 0, 0, 0, 0, 0, 0, 0, 0, 89, 49, 303
"/home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/utils.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 23, 8, 44
"/home/jon/repos/charlie-reporting/logs/phase2_validation.json", "JSON", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 52
"/home/jon/repos/charlie-reporting/pytest.ini", "Ini", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"/home/jon/repos/charlie-reporting/requirements.txt", "pip requirements", 0, 0, 13, 0, 0, 0, 0, 0, 0, 9, 7, 29
"/home/jon/repos/charlie-reporting/rest_email_fetcher.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/run.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 48
"/home/jon/repos/charlie-reporting/scripts/README.md", "Markdown", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 20, 68
"/home/jon/repos/charlie-reporting/scripts/analyze_src_deletion.py", "Python", 155, 0, 0, 0, 0, 0, 0, 0, 0, 12, 30, 197
"/home/jon/repos/charlie-reporting/scripts/check_integration_dependencies.py", "Python", 210, 0, 0, 0, 0, 0, 0, 0, 0, 85, 54, 349
"/home/jon/repos/charlie-reporting/scripts/cleanup_root_directory.py", "Python", 243, 0, 0, 0, 0, 0, 0, 0, 0, 53, 71, 367
"/home/jon/repos/charlie-reporting/scripts/complete_final_migration.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 0, 16, 19, 87
"/home/jon/repos/charlie-reporting/scripts/final_deletion_check.py", "Python", 84, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 106
"/home/jon/repos/charlie-reporting/scripts/final_deliverable_validation.py", "Python", 145, 0, 0, 0, 0, 0, 0, 0, 0, 17, 36, 198
"/home/jon/repos/charlie-reporting/scripts/fix_markdown_lint.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 62
"/home/jon/repos/charlie-reporting/scripts/migrate_legacy_code.py", "Python", 335, 0, 0, 0, 0, 0, 0, 0, 0, 35, 29, 399
"/home/jon/repos/charlie-reporting/scripts/migrate_tests_to_services.py", "Python", 185, 0, 0, 0, 0, 0, 0, 0, 0, 45, 48, 278
"/home/jon/repos/charlie-reporting/scripts/performance_benchmark.py", "Python", 160, 0, 0, 0, 0, 0, 0, 0, 0, 30, 54, 244
"/home/jon/repos/charlie-reporting/scripts/phase2_validation.py", "Python", 302, 0, 0, 0, 0, 0, 0, 0, 0, 46, 65, 413
"/home/jon/repos/charlie-reporting/scripts/run_integration_tests.py", "Python", 150, 0, 0, 0, 0, 0, 0, 0, 0, 39, 45, 234
"/home/jon/repos/charlie-reporting/scripts/test_runner.py", "Python", 134, 0, 0, 0, 0, 0, 0, 0, 0, 15, 38, 187
"/home/jon/repos/charlie-reporting/scripts/validate_phase2.py", "Python", 220, 0, 0, 0, 0, 0, 0, 0, 0, 24, 69, 313
"/home/jon/repos/charlie-reporting/services/README-template.md", "Markdown", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 17, 49
"/home/jon/repos/charlie-reporting/services/database-service/README.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 16, 55
"/home/jon/repos/charlie-reporting/services/database-service/requirements.txt", "pip requirements", 0, 0, 4, 0, 0, 0, 0, 0, 0, 6, 5, 15
