Date : 2025-07-29 18:39:18
Directory : /home/jon/repos/charlie-reporting
Total : 335 files,  10983 codes, 1712 comments, 3557 blanks, all 16252 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/master_demo.py                              | Python           |        229 |         36 |         51 |        316 |
| /home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/master_end_to_end_demo.py                   | Python           |        266 |         57 |         87 |        410 |
| /home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/quick_auth_test.py                          | Python           |          0 |          0 |          1 |          1 |
| /home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/quick_email_test.py                         | Python           |          0 |          0 |          1 |          1 |
| /home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/setup_secure_email.py                       | Python           |          0 |          0 |          1 |          1 |
| /home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/shared_utils.py                             | Python           |         85 |         79 |         26 |        190 |
| /home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/simple_email_debug.py                       | Python           |          0 |          0 |          1 |          1 |
| /home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/simple_email_test.py                        | Python           |          0 |          0 |          1 |          1 |
| /home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/simple_password_test.py                     | Python           |          0 |          0 |          1 |          1 |
| /home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/test_email.bat                              | Batch            |          0 |          0 |          1 |          1 |
| /home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/test_single_csv.py                          | Python           |          0 |          0 |          1 |          1 |
| /home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/testing/manual_test.py                      | Python           |        102 |          8 |         18 |        128 |
| /home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/testing/quick_auth_test.py                  | Python           |         31 |          9 |         11 |         51 |
| /home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/testing/test_email.bat                      | Batch            |         17 |          0 |          6 |         23 |
| /home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/testing/test_single_csv.py                  | Python           |         71 |         79 |         24 |        174 |
| /home/jon/repos/charlie-reporting/archive/deprecated/rest_email_fetcher.py                                                | Python           |        264 |         66 |         72 |        402 |
| /home/jon/repos/charlie-reporting/archive/deprecated/windows_email_service.py                                             | Python           |        267 |         42 |         65 |        374 |
| /home/jon/repos/charlie-reporting/archive/migration/README_old.md                                                         | Markdown         |         77 |          0 |         21 |         98 |
| /home/jon/repos/charlie-reporting/archive/migration/legacy_bridge.py                                                      | Python           |         32 |         11 |         12 |         55 |
| /home/jon/repos/charlie-reporting/archive/migration/migration_report.md                                                   | Markdown         |         60 |          0 |         13 |         73 |
| /home/jon/repos/charlie-reporting/common_service_architecture.md                                                          | Markdown         |       -471 |          0 |        -83 |       -554 |
| /home/jon/repos/charlie-reporting/config/config.toml                                                                      | TOML             |        -28 |         -4 |         -8 |        -40 |
| /home/jon/repos/charlie-reporting/config/settings.toml                                                                    | TOML             |          0 |          0 |         -1 |         -1 |
| /home/jon/repos/charlie-reporting/config_example_rest_architecture.toml                                                   | TOML             |        -40 |        -17 |        -12 |        -69 |
| /home/jon/repos/charlie-reporting/convert_wsl2_to_windows.py                                                              | Python           |       -407 |        -35 |        -46 |       -488 |
| /home/jon/repos/charlie-reporting/debug_email_time.py                                                                     | Python           |          0 |          0 |         -1 |         -1 |
| /home/jon/repos/charlie-reporting/debug_fetch_recent.py                                                                   | Python           |        -61 |        -12 |        -19 |        -92 |
