"filename", "language", "Markdown", "Python", "pip requirements", "Ini", "Docker", "JSON", "Shell Script", "Batch", "PowerShell", "comment", "blank", "total"
"/home/jon/repos/charlie-reporting/shared/tests/utils/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/shared/tests/utils/cross_platform_email_checker.py", "Python", 0, 243, 0, 0, 0, 0, 0, 0, 0, 52, 70, 365
"/home/jon/repos/charlie-reporting/shared/tests/utils/data_generator.py", "Python", 0, 97, 0, 0, 0, 0, 0, 0, 0, 57, 24, 178
"/home/jon/repos/charlie-reporting/shared/tests/utils/email_manager.py", "Python", 0, 63, 0, 0, 0, 0, 0, 0, 0, 76, 15, 154
"/home/jon/repos/charlie-reporting/shared/tests/utils/integration_base.py", "Python", 0, 147, 0, 0, 0, 0, 0, 0, 0, 75, 43, 265
"/home/jon/repos/charlie-reporting/shared/tests/utils/outlook_checker.py", "Python", 0, 118, 0, 0, 0, 0, 0, 0, 0, 64, 33, 215
"/home/jon/repos/charlie-reporting/shared/tests/utils/temp_manager.py", "Python", 0, 112, 0, 0, 0, 0, 0, 0, 0, 67, 29, 208
"/home/jon/repos/charlie-reporting/shared/utils.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 23, 8, 44
"/home/jon/repos/charlie-reporting/src/archiver.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/src/email_fetcher.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/src/excel_writer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/src/main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/test_pathlib_changes.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/tests/api/test_report_generator.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/tests/conftest.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/tests/integration/test_phase1_workflow.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/tests/services/report-generator/test_csv_transformer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/tests/services/report-generator/test_excel_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/tests/test_email_fetcher_directory_and_accounts.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jon/repos/charlie-reporting/tools/create-service-skeletons.py", "Python", 0, 330, 0, 0, 0, 0, 0, 0, 0, 190, 30, 550
"/home/jon/repos/charlie-reporting/tools/development/setup_dev.py", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 0, 8, 4, 21
"/home/jon/repos/charlie-reporting/tools/migrate-existing-code.py", "Python", 0, 538, 0, 0, 0, 0, 0, 0, 0, 380, 21, 939
"/home/jon/repos/charlie-reporting/tools/run-all-services.py", "Python", 0, 176, 0, 0, 0, 0, 0, 0, 0, 22, 47, 245
"/home/jon/repos/charlie-reporting/tools/setup/activate_env.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 28, 0, 6, 6, 40
"/home/jon/repos/charlie-reporting/tools/setup/activate_env.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 53, 8, 9, 70
"/home/jon/repos/charlie-reporting/tools/setup/activate_wsl2.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 16, 0, 0, 5, 5, 26
"/home/jon/repos/charlie-reporting/tools/setup/convert_wsl2_to_windows.py", "Python", 0, 407, 0, 0, 0, 0, 0, 0, 0, 35, 46, 488
"/home/jon/repos/charlie-reporting/tools/setup/setup_complete_wsl2_workflow.py", "Python", 0, 261, 0, 0, 0, 0, 0, 0, 0, 33, 39, 333
"/home/jon/repos/charlie-reporting/tools/setup/setup_project_environment.py", "Python", 0, 116, 0, 0, 0, 0, 0, 0, 0, 17, 21, 154
"/home/jon/repos/charlie-reporting/tools/setup/setup_wsl2_dev.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 163, 0, 0, 31, 36, 230
"/home/jon/repos/charlie-reporting/windows_email_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 8711, 23136, 77, 72, 18, 52, 179, 45, 53, 6671, 9041, 48055
